bioassay_id,extraction_id,processing_id,expedition_id,target_species,assay_date,assay_type,therapeutic_target,cell_line_organism,assay_format,concentration_range_um,positive_control,incubation_time_hours,ic50_value_nm,max_inhibition_percent,hill_coefficient,selectivity_index,cytotoxicity_cc50_um,therapeutic_window,dose_response_quality,assay_reproducibility,statistical_significance,mechanism_of_action,structure_activity_notes,follow_up_priority,patent_potential,literature_precedent,assay_cost_usd,researcher,assay_notes
EXP-0001-PROC-1-EXT-1-ASSAY-1,EXP-0001-PROC-1-EXT-1,EXP-0001-PROC-1,EXP-0001,Halichondria okadai,2023-08-12,MTT Cytotoxicity Assay,Anticancer,MCF-7 cells,96-well,0.070 - 995.8 μM,Paclitaxel,22.2,8.34,96.2,1.8,37.1,22.35,43.8,Good,0.799,True,Tubulin depolymerization,Throughout summer arm accept leave fear blue.,High,True,Novel,702.01,Nathan Morales,Big man be.
EXP-0001-PROC-1-EXT-1-ASSAY-2,EXP-0001-PROC-1-EXT-1,EXP-0001-PROC-1,EXP-0001,Halichondria okadai,2023-08-07,MTT Cytotoxicity Assay,Anticancer,A549 cells,96-well,0.067 - 199.4 μM,Paclitaxel,30.5,14.34,79.8,1.14,13.6,134.11,3.9,Excellent,0.776,True,Tubulin depolymerization,Together improve tree according show economic likely.,Medium,True,Similar,489.19,Jacob Mcclain,Speech board just style class government its.
EXP-0001-PROC-1-EXT-1-ASSAY-3,EXP-0001-PROC-1-EXT-1,EXP-0001-PROC-1,EXP-0001,Halichondria okadai,2023-08-13,MTT Cytotoxicity Assay,Anticancer,HeLa cells,96-well,0.563 - 320.2 μM,Paclitaxel,22.7,68.47,51.6,0.74,89.9,97.34,18.1,Good,0.838,True,Tubulin depolymerization,Third remember book expect card inside.,Medium,False,Similar,731.45,Andre Wade,Where work budget major many race camera.
EXP-0001-PROC-1-EXT-1-ASSAY-4,EXP-0001-PROC-1-EXT-1,EXP-0001-PROC-1,EXP-0001,Halichondria okadai,2023-07-31,MTT Cytotoxicity Assay,Anticancer,A549 cells,96-well,0.591 - 105.9 μM,Cisplatin,40.4,136.45,77.7,0.88,71.3,147.72,34.2,Good,0.706,True,Tubulin depolymerization,Maybe type successful home body blue.,High,False,Similar,794.1,Christopher Porter,Appear stop involve others account.
EXP-0001-PROC-2-EXT-1-ASSAY-1,EXP-0001-PROC-2-EXT-1,EXP-0001-PROC-2,EXP-0001,Halichondria okadai,2023-07-19,MTT Cytotoxicity Assay,Anticancer,MCF-7 cells,96-well,0.922 - 978.7 μM,Doxorubicin,2.7,1.59,91.6,1.13,98.1,796.24,31.1,Good,0.898,True,Tubulin depolymerization,Face magazine set easy check memory economic.,Medium,False,Similar,402.72,Sharon Gamble,Project investment listen situation billion.
EXP-0001-PROC-2-EXT-1-ASSAY-2,EXP-0001-PROC-2-EXT-1,EXP-0001-PROC-2,EXP-0001,Halichondria okadai,2023-08-02,MTT Cytotoxicity Assay,Anticancer,HeLa cells,96-well,0.366 - 615.4 μM,Cisplatin,50.7,4.38,44.2,1.97,52.5,34.5,37.4,Good,0.827,True,Tubulin depolymerization,Particularly country talk pick chance build husband.,Low,True,Similar,806.93,Corey Thomas,Pattern before anything.
EXP-0001-PROC-2-EXT-1-ASSAY-3,EXP-0001-PROC-2-EXT-1,EXP-0001-PROC-2,EXP-0001,Halichondria okadai,2023-07-29,MTT Cytotoxicity Assay,Anticancer,A549 cells,96-well,0.588 - 848.8 μM,Paclitaxel,32.9,54.73,81.6,0.68,19.7,55.51,38.8,Excellent,0.91,True,Tubulin depolymerization,Modern record woman develop international article.,Low,False,Novel,1041.23,Anthony Rodriguez,Exactly go individual floor answer American.
EXP-0001-PROC-2-EXT-1-ASSAY-4,EXP-0001-PROC-2-EXT-1,EXP-0001-PROC-2,EXP-0001,Halichondria okadai,2023-07-30,MTT Cytotoxicity Assay,Anticancer,HeLa cells,384-well,0.216 - 49.9 μM,Doxorubicin,16.1,7.15,65.1,1.77,48.2,11.76,14.3,Excellent,0.707,False,Tubulin depolymerization,Produce focus experience.,Low,True,Similar,1026.12,Lawrence Jordan,Way hair fight best add.
EXP-0001-PROC-2-EXT-1-ASSAY-5,EXP-0001-PROC-2-EXT-1,EXP-0001-PROC-2,EXP-0001,Halichondria okadai,2023-07-21,MTT Cytotoxicity Assay,Anticancer,HeLa cells,96-well,0.132 - 699.3 μM,Paclitaxel,16.4,4.8,89.5,0.81,90.4,47.23,43.3,Excellent,0.816,False,Tubulin depolymerization,Side candidate guess special sea open painting.,Medium,False,Similar,1193.24,Donald Silva,Thought candidate sea build.
EXP-0001-PROC-2-EXT-1-ASSAY-6,EXP-0001-PROC-2-EXT-1,EXP-0001-PROC-2,EXP-0001,Halichondria okadai,2023-07-30,MTT Cytotoxicity Assay,Anticancer,A549 cells,384-well,0.487 - 468.0 μM,Paclitaxel,57.0,31.09,50.8,1.67,96.8,377.4,37.9,Fair,0.903,True,Tubulin depolymerization,Why this stage cover knowledge better walk people.,Low,False,Known,339.39,John Juarez,Result analysis court nearly education theory table.
