extraction_id,processing_id,expedition_id,target_species,extraction_date,extraction_method,solvent_system,target_compounds,extraction_temperature,extraction_time_hours,sample_volume_ml,final_yield_mg,purity_percentage,bioactivity_retained,compound_class,molecular_weight_estimated,stability_assessment,storage_buffer,extraction_efficiency,chromatography_required,purification_steps,extraction_cost_usd,analyst,analytical_method,extraction_notes
EXP-0001-PROC-1-EXT-1,EXP-0001-PROC-1,EXP-0001,Halichondria okadai,2023-07-27,Supercritical CO2,Methanol/Water,"Halichondrin B, Norhalichondrin A",65.2,24.3,24.9,42.44,77.7,84.5,Macrolide,1714.0,Stable,Tris Buffer,44.4,True,5,885.78,James Taylor,LC-MS/MS,Minute question their rather individual of.
EXP-0001-PROC-2-EXT-1,EXP-0001-PROC-2,EXP-0001,Halichondria okadai,2023-07-14,Supercritical CO2,Methanol/Water,"Halichondrin B, Norhalichondrin A",33.2,33.6,33.8,466.28,64.5,98.0,Macrolide,1431.0,Unstable,HEPES Buffer,64.6,False,2,258.79,Erik Jacobs,LC-MS/MS,My deal catch must son television finally.
EXP-0001-PROC-3-EXT-1,EXP-0001-PROC-3,EXP-0001,Halichondria okadai,2023-07-21,Supercritical CO2,Methanol/Water,"Halichondrin B, Norhalichondrin A",16.3,47.6,97.3,281.14,87.2,72.1,Macrolide,952.0,Moderate,PBS pH 7.4,37.6,True,2,1303.03,Kelly Taylor,HPLC-MS,Prevent north citizen attack.
EXP-0001-PROC-3-EXT-2,EXP-0001-PROC-3,EXP-0001,Halichondria okadai,2023-07-22,Supercritical CO2,Chloroform/Methanol,"Halichondrin B, Norhalichondrin A",9.8,26.2,57.3,201.66,91.7,94.4,Macrolide,1301.0,Unstable,PBS pH 7.4,54.3,True,2,659.61,Michelle White,GC-MS,Risk she they increase.
EXP-0001-PROC-3-EXT-3,EXP-0001-PROC-3,EXP-0001,Halichondria okadai,2023-07-17,Supercritical CO2,Aqueous Buffer,"Halichondrin B, Norhalichondrin A",35.4,49.0,67.5,35.15,75.0,75.5,Macrolide,482.0,Stable,PBS pH 7.4,83.8,True,1,275.45,Jeremy Peck,NMR,Charge could capital ago worry.
EXP-0001-PROC-4-EXT-1,EXP-0001-PROC-4,EXP-0001,Halichondria okadai,2023-07-19,Steam Distillation,Methanol/Water,"Halichondrin B, Norhalichondrin A",70.8,40.5,27.0,251.26,87.8,98.7,Macrolide,597.0,Moderate,Saline,87.6,True,5,1881.75,Lisa Salazar,LC-MS/MS,Discussion reach grow read live maybe painting Republican.
EXP-0001-PROC-4-EXT-2,EXP-0001-PROC-4,EXP-0001,Halichondria okadai,2023-07-16,Solvent Extraction,Chloroform/Methanol,"Halichondrin B, Norhalichondrin A",51.9,29.6,76.5,265.69,85.7,82.9,Macrolide,1517.0,Unstable,Saline,83.6,True,1,463.59,Samuel Henry,HPLC-MS,Clearly difficult impact why.
EXP-0002-PROC-1-EXT-1,EXP-0002-PROC-1,EXP-0002,Bothrops jararaca,2024-05-10,Chromatographic Separation,Aqueous Buffer,Bradykinin-potentiating peptides,68.2,31.6,41.0,457.54,69.5,95.3,Peptide,1071.0,Unstable,PBS pH 7.4,63.4,True,4,755.24,Tiffany Walker,NMR,Serious at until worry term.
EXP-0002-PROC-1-EXT-2,EXP-0002-PROC-1,EXP-0002,Bothrops jararaca,2024-04-28,Solvent Extraction,Chloroform/Methanol,Bradykinin-potentiating peptides,7.0,20.3,5.6,489.18,96.7,81.9,Peptide,1511.0,Moderate,Tris Buffer,52.5,True,1,1407.97,Frederick Ellis II,LC-MS/MS,Simply part station result hour voice.
EXP-0002-PROC-2-EXT-1,EXP-0002-PROC-2,EXP-0002,Bothrops jararaca,2024-05-27,Steam Distillation,Aqueous Buffer,Bradykinin-potentiating peptides,34.4,56.6,30.3,495.17,61.0,88.1,Peptide,1387.0,Unstable,HEPES Buffer,74.7,False,4,416.7,Kimberly Davidson,NMR,Minute later still.
