occurrence_id,species_key,scientific_name,common_name,decimal_latitude,decimal_longitude,country,collection_date,depth_m,habitat,threat_level,basis_of_record,data_quality
OCC-000-0000,CREATURE-000,Halichondria okadai,Marine Sponge,81.6448255,-120.229585,Anguilla,2024-11-30,25,Coral Reef,Low,Preserved Specimen,Low
OCC-000-0001,CREATURE-000,Halichondria okadai,Marine Sponge,-24.262343,-60.164645,Burundi,2024-11-21,759,Coral Reef,Low,Observation,High
OCC-000-0002,CREATURE-000,Halichondria okadai,Marine Sponge,56.395715,-133.325072,Nauru,2023-04-26,281,Coral Reef,Low,Preserved Specimen,High
OCC-000-0003,CREATURE-000,Halichondria okadai,Marine Sponge,-82.0013695,-129.697749,Cuba,2022-05-16,250,Coral Reef,Low,Preserved Specimen,Medium
OCC-000-0004,CREATURE-000,Halichondria okadai,Marine Sponge,71.603172,-165.753610,Monaco,2022-03-15,228,Coral Reef,Low,Observation,Medium
OCC-000-0005,CREATURE-000,Halichondria okadai,Marine Sponge,84.4520245,112.563230,Italy,2022-04-23,142,Coral Reef,Low,Preserved Specimen,Low
OCC-000-0006,CREATURE-000,Halichondria okadai,Marine Sponge,68.1798025,-30.647502,Sudan,2025-07-22,754,Coral Reef,Low,Observation,High
OCC-000-0007,CREATURE-000,Halichondria okadai,Marine Sponge,-47.141780,46.889378,Guam,2022-08-06,104,Coral Reef,Low,Preserved Specimen,High
OCC-000-0008,CREATURE-000,Halichondria okadai,Marine Sponge,-32.2021525,0.707823,Bosnia and Herzegovina,2021-09-02,692,Coral Reef,Low,Preserved Specimen,High
OCC-000-0009,CREATURE-000,Halichondria okadai,Marine Sponge,-64.037895,12.725585,Tanzania,2022-12-05,758,Coral Reef,Low,Preserved Specimen,High
OCC-000-0010,CREATURE-000,Halichondria okadai,Marine Sponge,-18.993222,-156.672724,Saint Lucia,2023-07-04,913,Coral Reef,Low,Observation,High
OCC-000-0011,CREATURE-000,Halichondria okadai,Marine Sponge,-56.4922325,23.224098,Belgium,2023-12-20,558,Coral Reef,Low,Preserved Specimen,High
OCC-000-0012,CREATURE-000,Halichondria okadai,Marine Sponge,78.7492105,152.065263,Turks and Caicos Islands,2025-07-08,89,Coral Reef,Low,Preserved Specimen,Medium
