expedition_id,target_species,expedition_date,location,collection_method,team_size,duration_days,specimens_collected,biomass_kg,weather_conditions,safety_incidents,equipment_used,permits_obtained,expedition_cost_usd,success_rating,samples_viable,voucher_specimens,expedition_leader,institution
EXP-0001,Halichondria okadai,2023-06-28,North Pacific Ocean,Scuba Diving Collection,7,19,43,0.71,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",40134.27,3.9,True,2,Diana Mayer,Marine Bio Institute
EXP-0002,Bothrops jararaca,2024-04-25,Brazilian Atlantic Forest,Venom Milking by Specialists,5,20,38,6.98,Good,2,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",49265.55,3.5,True,1,Erin Smith,Pharma R&D Lab
EXP-0003,Bothrops jararaca,2025-07-13,Brazilian Atlantic Forest,Venom Milking by Specialists,10,3,12,1.1,Good,0,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",36147.26,3.1,True,3,Monica Ellis,University Research Station
EXP-0004,Conus geographus,2025-03-14,Great Barrier Reef,ROV Collection with Safety Protocols,3,10,41,6.19,Good,2,"ROV, Scuba Gear, Sterile Containers","Research Permit, Institutional Animal Care, CITES Permit",18781.41,4.2,True,1,Arthur Ferguson,Marine Bio Institute
EXP-0005,Salinispora tropica,2023-11-11,Tropical Sediments,Deep Sediment Coring,10,5,39,8.88,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",25240.31,3.4,True,2,Daniel Adams,Marine Bio Institute
EXP-0006,Salinispora tropica,2025-09-10,Tropical Sediments,Deep Sediment Coring,10,20,15,7.36,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",39618.72,3.0,True,3,Kenneth Knight,Pharma R&D Lab
EXP-0007,Bugula neritina,2024-08-30,California Marina,Marina Substrate Sampling,9,9,39,2.67,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",39213.04,3.3,True,2,Michael Williams,Pharma R&D Lab
EXP-0008,Bothrops jararaca,2023-07-05,Brazilian Atlantic Forest,Venom Milking by Specialists,9,14,33,2.49,Good,0,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",48914.32,4.6,True,5,Julia Martinez,University Research Station
EXP-0009,Halichondria okadai,2025-10-12,North Pacific Ocean,Scuba Diving Collection,6,10,9,5.52,Poor,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",25446.98,4.7,True,3,Aaron Rubio,Marine Bio Institute
EXP-0010,Bugula neritina,2023-10-25,California Marina,Marina Substrate Sampling,11,10,42,3.31,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",38181.07,4.0,True,2,Bonnie Santos,Marine Bio Institute
EXP-0011,Halichondria okadai,2023-09-08,North Pacific Ocean,Scuba Diving Collection,3,10,9,7.87,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",45143.81,4.9,True,1,Denise Pena,University Research Station
